Date,Close,High,Low,Open,Volume
,INTC,INTC,INTC,INTC,INTC
2015-10-19,26.3609619140625,26.384504536120286,25.795915034907566,25.803764571407502,37624000
2015-10-20,26.243249893188477,26.44729598511652,26.141229840946277,26.21186071988724,24416100
2015-10-21,26.188312530517578,26.721967342708037,26.149073822446244,26.423747772667127,31928800
2015-10-22,26.996641159057617,27.07511856610859,26.360963384548484,26.447290328537264,39572600
2015-10-23,27.38903045654297,27.491050473089143,26.996637487215537,27.106507039631893,42796600
2015-10-26,27.145751953125,27.436121978668744,27.114359789898256,27.287013693923893,22646900
2015-10-27,27.051572799682617,27.114354119284755,26.92600716675751,27.00448456469039,22630100
2015-10-28,27.23992156982422,27.23992156982422,26.776897706194443,27.051574604729314,21908400
2015-10-29,26.70626449584961,26.910310516088707,26.502221469331285,26.839679661962986,21325200
2015-10-30,26.572853088378906,26.91031129072462,26.572853088378906,26.76120004232204,24693900
2015-11-02,26.76905059814453,26.902462779459707,26.400200224850387,26.470831083699885,21743100
2015-11-03,26.92601203918457,27.00448945131842,26.667031190444394,26.68272727161544,18167000
2015-11-04,26.989229202270508,27.084066055329252,26.791650666426097,27.084066055329252,20762100
2015-11-05,26.870681762695312,27.02874519955538,26.657296575155616,26.949711973720696,16486100
2015-11-06,26.74423599243164,26.8469776954241,26.404400602757175,26.81536439991722,23701700
2015-11-09,26.356977462768555,26.73633093322131,26.143595281001843,26.554556013508375,24168700
2015-11-10,26.246337890625,26.293757835241433,25.930213970945083,26.214724594214044,22451700
2015-11-11,25.969722747802734,26.380686456446092,25.922302814756105,26.206816383417596,19864700
2015-11-12,25.606182098388672,26.017142842395863,25.598277267844587,25.85117757868417,23265400
2015-11-13,25.376991271972656,25.59037648311739,25.25844292751126,25.503441432486984,23673200
2015-11-16,25.36908531188965,25.495535466775465,25.234733341302622,25.36118349618844,29899700
2015-11-17,25.795854568481445,25.985531299783236,25.297955786772444,25.408602305337283,22636400
2015-11-18,26.206817626953125,26.270044207348786,25.780047253710276,25.866982294349665,18619800
2015-11-19,27.107778549194336,27.447613922607307,26.18311231093787,26.25424071501988,45381600
2015-11-20,27.392282485961914,27.890181138594443,27.250025728066905,27.250025728066905,41137700
2015-11-23,27.25003433227539,27.542449753697152,27.194712577271535,27.39229113508804,20152900
2015-11-24,27.155193328857422,27.218416890019306,26.791649561451635,27.131484870272853,21413500
2015-11-25,27.2263240814209,27.455515916985387,26.981325600492372,27.076162457867238,17939400
2015-11-27,27.234222412109375,27.408092474057934,27.186805496893555,27.297448985475743,6620900
2015-11-30,27.479225158691406,27.58196684907327,27.21051820948382,27.305355069554313,21785800
